City,Date,Temperature,Humidity,Weather
Kolkata,2026-06-05 03:00:00,35.4,54,Clouds
Kolkata,2026-06-05 06:00:00,41.6,32,Clouds
Kolkata,2026-06-05 09:00:00,43.55,28,Clear
Kolkata,2026-06-05 12:00:00,36.04,53,Clear
Kolkata,2026-06-05 15:00:00,31.92,72,Clouds
Patna,2026-05-31 18:00:00,29.96,66,Clouds
Patna,2026-05-31 21:00:00,30.77,59,Clouds
Patna,2026-06-01 00:00:00,31.23,52,Clear
Patna,2026-06-01 03:00:00,36.87,33,Clear
Patna,2026-06-01 06:00:00,40.69,23,Clear
Patna,2026-06-01 09:00:00,41.4,20,Clouds
Patna,2026-06-01 12:00:00,39.37,23,Clouds
Patna,2026-06-01 15:00:00,35.83,33,Clouds
Patna,2026-06-01 18:00:00,34.58,36,Clouds
Patna,2026-06-01 21:00:00,33.22,39,Clouds
Patna,2026-06-02 00:00:00,32.86,40,Clouds
Patna,2026-06-02 03:00:00,37.78,28,Clear
Patna,2026-06-02 06:00:00,41.85,21,Clear
Patna,2026-06-02 09:00:00,43.11,17,Clouds
Patna,2026-06-02 12:00:00,41.78,18,Clouds
Patna,2026-06-02 15:00:00,40.33,20,Clouds
Patna,2026-06-02 18:00:00,38.57,24,Clouds
Patna,2026-06-02 21:00:00,36.84,31,Clouds
Patna,2026-06-03 00:00:00,34.59,36,Clouds
Patna,2026-06-03 03:00:00,39.03,24,Clouds
Patna,2026-06-03 06:00:00,43.65,17,Clouds
Patna,2026-06-03 09:00:00,43.41,17,Clouds
Patna,2026-06-03 12:00:00,41.67,19,Clouds
Patna,2026-06-03 15:00:00,39.51,23,Clouds
Patna,2026-06-03 18:00:00,38.24,25,Clouds
Patna,2026-06-03 21:00:00,35.16,41,Clouds
Patna,2026-06-04 00:00:00,33.56,53,Clouds
Patna,2026-06-04 03:00:00,37.28,40,Clouds
Patna,2026-06-04 06:00:00,43.36,22,Clouds
Patna,2026-06-04 09:00:00,44.32,18,Clouds
Patna,2026-06-04 12:00:00,44.16,17,Clouds
Patna,2026-06-04 15:00:00,41.45,21,Clouds
Patna,2026-06-04 18:00:00,35.95,48,Clouds
Patna,2026-06-04 21:00:00,35.21,51,Clouds
Patna,2026-06-05 00:00:00,32.82,59,Clouds
Patna,2026-06-05 03:00:00,36.11,47,Clear
Patna,2026-06-05 06:00:00,41.42,30,Clear
Patna,2026-06-05 09:00:00,44.71,21,Clouds
Patna,2026-06-05 12:00:00,43.59,19,Rain
Patna,2026-06-05 15:00:00,37.35,34,Clouds
Ranchi,2026-05-31 18:00:00,26.06,69,Clouds
Ranchi,2026-05-31 21:00:00,26.38,66,Clouds
Ranchi,2026-06-01 00:00:00,26.29,63,Clouds
Ranchi,2026-06-01 03:00:00,31.06,43,Clear
Ranchi,2026-06-01 06:00:00,33.41,31,Clouds
Ranchi,2026-06-01 09:00:00,36.84,25,Clouds
Ranchi,2026-06-01 12:00:00,31.53,39,Rain
Ranchi,2026-06-01 15:00:00,30.83,42,Clouds
Ranchi,2026-06-01 18:00:00,28.82,49,Clouds
Ranchi,2026-06-01 21:00:00,27.72,52,Clear
Ranchi,2026-06-02 00:00:00,27.09,57,Clear
Ranchi,2026-06-02 03:00:00,33.32,36,Clear
Ranchi,2026-06-02 06:00:00,37.19,24,Clear
Ranchi,2026-06-02 09:00:00,38.39,20,Clear
Ranchi,2026-06-02 12:00:00,35.07,25,Clouds
Ranchi,2026-06-02 15:00:00,31.75,42,Clouds
Ranchi,2026-06-02 18:00:00,30.0,48,Clouds
Ranchi,2026-06-02 21:00:00,28.48,52,Clouds
Ranchi,2026-06-03 00:00:00,28.13,56,Clouds
Ranchi,2026-06-03 03:00:00,34.42,36,Clouds
Ranchi,2026-06-03 06:00:00,38.63,22,Clouds
Ranchi,2026-06-03 09:00:00,37.11,23,Clouds
Ranchi,2026-06-03 12:00:00,36.77,24,Clouds
